سال ,مہینہ,بارش (ملیمیٹر),درجہ_حرارت_کم,درجہ_حرارت_زیادہ
١٩٩٦,٣    ,٣٢            ,١٥           ,٢٨.٥
١٩٩٦,٤    ,٨             ,١٩           ,٣٦.١
١٩٩٦,٥    ,١٣            ,٢٢.٨         ,٣٨.٧
١٩٩٦,٦    ,٤٩            ,٢٧.٢         ,٣٩.٤
١٩٩٦,٧    ,٤             ,٢٨.٣         ,٣٩.٥
١٩٩٦,٨    ,١٠٩           ,٢٧.٢         ,٣٦.٥
١٩٩٦,٩    ,١             ,٢٥           ,٣٦.٩
١٩٩٦,١٠   ,٥.٢           ,١٧.٣         ,٣٣
١٩٩٦,١١   ,٠             ,١٠           ,٢٨.٢
١٩٩٦,١٢   ,٠             ,٤.٥          ,٢٣.٦
١٩٩٧,١    ,٨             ,٤.٦          ,٢٠.٧
١٩٩٧,٢    ,٥.٥           ,٧.٤          ,٢٣.٧
١٩٩٧,٣    ,٦             ,١٣.٣         ,٢٧.٣
١٩٩٧,٤    ,٥٧            ,١٨.٥         ,٣١.٧
١٩٩٧,٥    ,٣٣            ,٢٢.٣         ,٣٦.٧
١٩٩٧,٦    ,٢١            ,٢٧.٢         ,٤٠
١٩٩٧,٧    ,١٠٠           ,٢٨.٨         ,٣٨.٩
١٩٩٧,٨    ,١٣١           ,٢٦.٧         ,٣٥.٧
١٩٩٧,٩    ,١٩            ,٢٥.٢         ,٣٦.٤
١٩٩٧,١٠   ,٨٩            ,١٨.١         ,٢٨
١٩٩٧,١١   ,١٠            ,١٢.١         ,٢٦
١٩٩٧,١٢   ,١             ,٧            ,١٨.١
١٩٩٨,١    ,١             ,٥            ,٢٠.٧
١٩٩٨,٢    ,٠             ,٨.٤          ,٢٢.٨
١٩٩٨,٣    ,٨             ,١٣           ,٢٦.٨
١٩٩٨,٤    ,٢٧.٥          ,٢٠.٤         ,٣٥.٧
١٩٩٨,٥    ,٢٦.٥          ,٢٤.٥         ,٤٠.٥
١٩٩٨,٦    ,٣١            ,٢٧.٨         ,٤١.٩
١٩٩٨,٧    ,٨٠.٦          ,٢٩.١         ,٣٩.٥
١٩٩٨,٨    ,٥٠            ,٢٨.٥         ,٣٨.٢
١٩٩٨,٩    ,٥١.٥          ,٢٥.٧         ,٣٥.٩
١٩٩٨,١٠   ,١٩            ,١٩.٩         ,٣٣.٧
١٩٩٨,١١   ,٠             ,١١.١         ,٣٠
١٩٩٨,١٢   ,٠             ,٦.٧          ,٢١
١٩٩٩,١    ,١٠.٨          ,٦.٨          ,١٧.٢
١٩٩٩,٢    ,٦             ,٩.٥          ,٢٣.٦
١٩٩٩,٣    ,٥.٤           ,١٤.١         ,٢٩.٦
١٩٩٩,٤    ,٠             ,١٩.٤         ,٣٩
١٩٩٩,٥    ,٠             ,٢٥.٩         ,٤٢
١٩٩٩,٦    ,٨             ,٢٨.٣         ,٤١.١
١٩٩٩,٧    ,٣٢            ,٢٨.٩         ,٣٩.٣
١٩٩٩,٨    ,١٩            ,٢٧.٧         ,٣٧.٥
١٩٩٩,٩    ,٢٥            ,٢٥.٩         ,٣٨.١
١٩٩٩,١٠   ,١             ,١٩.٦         ,٣٥.٥
١٩٩٩,١١   ,٠             ,١٢.٧         ,٢٩.٦
١٩٩٩,١٢   ,٠             ,٦.٨          ,٢٤.٧
٢٠٠٠,١    ,٥.٢           ,٥.١          ,١٩
٢٠٠٠,٢    ,٨             ,٧.١          ,٢١.٣
٢٠٠٠,٣    ,٠             ,١٢.٥         ,٢٨.٨
٢٠٠٠,٤    ,٠             ,٢١.٣         ,٣٨.٨
٢٠٠٠,٥    ,٠             ,٢٩.١         ,٤٢.٩
٢٠٠٠,٦    ,٨             ,٣٠.١         ,٤١.٩
٢٠٠٠,٧    ,١٥٦           ,٢٨           ,٣٧.٥
