"id","escl","territorio","hog.tamaño.familia","hog.tamaño.familia.ES","hog.shannon.calidad.dieta","hog.shannon.calidad.dieta.ES","hog.défic.shannon.calidad.dieta","hog.défic.shannon.calidad.dieta.ES","hog.prc.tierra.autocons","hog.prc.tierra.autocons.ES","hog.comida.chatarra","hog.comida.chatarra.ES","hog.educación.adultos","hog.educación.adultos.ES","hog.ingresos.per.cáp","hog.ingresos.per.cáp.ES","hog.gastos.comida.per.cáp","hog.gastos.comida.per.cáp.ES","hog.cantidad.dieta.prod","hog.cantidad.dieta.prod.ES","hog.educación.sexual","hog.educación.sexual.ES","ind.edad","ind.edad.ES","ind.prc.hijos.vivos","ind.prc.hijos.vivos.ES","ind.espaciamiento.embarazos","ind.espaciamiento.embarazos.ES","ind.educación","ind.educación.ES","ind.educación.sexual","ind.educación.sexual.ES","hog.ISA_123","hog.ISA_23","hog.ISA_3","hog.ISA_123.mín","hog.ISA_123.máx","hog.ISA_23.mín","hog.ISA_23.máx","hog.ISA_3.mín","hog.ISA_3.máx","ind.fertilidad","ind.fertilidad.ES"
"109","municipio",9,4.61550181779782,0.314698143400447,0.906858549368542,0.0520036748583265,0.136637200344094,0.0363507763005489,0.0332483519135905,0.0331868086758549,0.258854683660462,0.0141161341250981,4.31374486465829,0.497793485262706,865.067115207651,105.849293065867,184.1001669817,11.6764889433912,114.789529665555,35.1139940793025,0.801723513650518,0.0864620388795113,29.325785575284,2.24249716536535,0.933685804353762,0.0262430102836428,10.8631921644022,1.58470679451652,3.62743441596645,0.374559019924134,0.796817759308874,0.0712284929046386,0.939065303885675,0.388484044628239,0.273433720866048,0.824878042363107,0.980552766936972,0.216250948444127,0.593938573100273,0.12338145300278,0.501562554249739,0.133819285235593,0.0215831110507645
"115","municipio",10,5.07599169443419,0.264576482015995,1.20255426615065,0.0269348642004731,0.0468533752291527,0.0115490186685341,0.00983448083907336,0.00934327624164255,0.272668794907672,0.00776160563585697,7.5168045440757,0.275266212848548,2263.13614120402,1063.68662925802,196.232090309092,7.22709280767397,19.6185697166655,5.29605250100292,0.922831425364759,0.0207103728562239,27.3955043655954,0.855691172981725,0.986582547605842,0.00532364945137333,11.8642206985575,0.649779769126005,5.86887458642656,0.202247008966954,0.87696883955454,0.0261659819519145,0.776116560103136,0.396626040253318,0.155247297516801,0.706796787504855,0.832921695655154,0.313233101339471,0.486493459407147,0.0928572692101521,0.248092249436221,0.110004871483974,0.00526135946936467
"117","municipio",9,4.58290319891766,0.252691516957591,1.1029738944318,0.0565876527245049,0.086070697664186,0.0310685778099579,0,0,0.276553411435678,0.0163203842831842,8.75408868142696,0.480626989118963,1453.77594752467,172.317256203393,189.917382501709,12.6170391881638,7.26477728120852,3.30756906455156,0.921990924504817,0.0298034439311928,27.0509300521291,1.59944500695014,0.981864018334607,0.0138695933177956,12.4783346065699,0.920301190609086,6.73083951551369,0.473916959061541,0.832860056793185,0.04241749192678,0.708455427370558,0.230214351208066,0.129181387416846,0.543549036736235,0.832179029339728,0.129648739643157,0.375162011256891,0.0597015753141178,0.25738714994829,0.0986266289658887,0.00754324553317911
"201","municipio",5,4.84885445854623,0.279306004859647,1.12911409304697,0.0343014460804317,0.0924540871860695,0.0183283756244495,0.0919930002063356,0.0220459547214722,0.260746184063587,0.0145062719705952,7.87052222405362,0.33331216646813,946.610268666557,115.861183856677,179.572871127262,10.6182109850483,75.1407059502225,11.1249908268891,0.913781815956926,0.0231798066532545,29.8956650733476,1.20598962343233,0.975166818319685,0.00920414393559177,11.0886701447496,0.687664585585144,6.03906378770397,0.24987314773254,0.857124810510359,0.026217330921412,0.586726039016115,0.206064461409493,0.141348600855842,0.483998503158199,0.682421487553039,0.13183104059523,0.307302407977769,0.0771365711059501,0.244832753089294,0.114910863083207,0.00570707246615556
"202","municipio",5,4.46268656716418,0.255203331568844,0.864439782987758,0.0522014445584474,0.206566079144603,0.0361376685484889,0.184796926407607,0.0479601381644941,0.23229761508439,0.0148510372376009,4.99132462686567,0.425103679103097,790.284981343284,142.083471721158,166.512833559483,13.3623566986515,250.262093905473,21.6973375588187,0.818132168214091,0.0631087597401417,30.9930037313433,1.77732667740024,0.992650918635171,0.00733840279333816,11.0709973753281,1.11354874491074,4.28311567164179,0.366746377880902,0.735119047619048,0.0692446733708384,0.924440298507457,0.349347014925531,0.20755597015709,0.769687108401749,0.978161182571548,0.211387064723242,0.518182808234747,0.104586447723334,0.370010917446059,0.116138283210865,0.00926224106580659
"203","municipio",5,6.18132505565485,0.229324334199479,0.681923378685089,0.0227059212244726,0.344735447348473,0.0174611015198964,0.36635419988268,0.0251125151991904,0.202304622039677,0.00864739551139541,4.03502701742284,0.207433775009101,401.972439093218,30.196992449312,108.260226221803,4.10400278632595,239.072167873828,12.8845742884422,0.682474877978754,0.0303630919514046,23.2244379644436,0.648207674483915,0.936494991337923,0.0100444238891472,7.87058996580396,0.441307119477194,3.36954817671589,0.14791472755197,0.626789691377665,0.031601818681394,0.936882701531277,0.655974665286868,0.350829335590927,0.897928433361536,0.96160624561248,0.591099918454971,0.715510410692362,0.284006590044351,0.424062570222448,0.175845621861669,0.00677191199383562
"204","municipio",5,5.81151149518996,0.563644610360065,0.810328613819726,0.0551229322173706,0.260264896298423,0.0361285247231802,0.051474369426432,0.0336546878162594,0.20875635045002,0.0152460138773394,4.41166367737377,0.499633822919911,663.861813142019,76.3464184589186,126.939226987192,11.8004974380624,114.902808522202,30.5847542276069,0.51558174837039,0.0723746552691236,23.9839393445296,1.31818283910633,0.960398822269807,0.0224931275928694,7.73166214664419,0.942319687571638,3.47872166965596,0.335715928523947,0.525244072524407,0.074060801949693,0.940078265116905,0.557149844810287,0.351296266104573,0.858211369751965,0.975998264999662,0.378405128088396,0.722225680766237,0.196867668334386,0.544704145284178,0.170821942559152,0.0125777144666697
"205","municipio",5,4.81766933850084,0.316218142051359,0.926325761206199,0.0564443182907583,0.201114962223919,0.0343110114041177,0.0576208121085014,0.0209595875184629,0.219826473696251,0.0129540948969352,4.75683372970434,0.407627001587082,593.504976658152,72.3893951818858,152.023017193595,10.866556625043,171.260877066267,24.0228692510137,0.913964272884622,0.0349434637444062,27.9948912181802,1.42168401643445,0.9419760219558,0.0159458280232218,9.53271341903799,0.716760691431494,3.96503126926804,0.323573395753119,0.865028901734104,0.0403146009889644,0.803840394609231,0.258081564350347,0.127631463049454,0.68999577613787,0.882968317962201,0.157997291131017,0.392045550027198,0.0616293369128521,0.245803023763264,0.136262809790719,0.00972363447709983
"206","municipio",5,5.32110706048657,0.307085593136629,0.906475379339359,0.0548562684705942,0.221353932922087,0.0335460464837445,0.382931906751368,0.0552652151404901,0.221218945466761,0.0177113359401739,6.19853433524291,0.494105971545987,729.432929097537,107.933606936306,158.073901477798,10.6450167064767,190.861874562905,16.2285081170478,0.963648603163918,0.0184965292395135,27.6474220668105,1.27249394348543,0.992950391644909,0.00701382467968934,9.44177545691906,0.524659865062663,4.8360241053493,0.351144612567017,0.922298152366489,0.0283084054679068,0.671378617662332,0.198348337177301,0.0502194778308773,0.537823250361112,0.781984940484918,0.123432993262029,0.303014463009403,0.0189652425086324,0.126346466177934,0.126604438471922,0.008327516718336
"207","municipio",5,5.21624629080119,0.210095128212084,0.90982243095946,0.0246192821612142,0.178052883930925,0.0163188411083806,0.226999375984766,0.0298138046542663,0.248145280915434,0.0096083281616758,5.35781259462242,0.230601945673907,650.657243535396,41.768547109232,155.3855857444,5.74944461727884,119.380017238943,13.1820258590435,0.813271504336577,0.0283996763412396,27.2301292920729,0.871751733766856,0.954215963002623,0.0239668852323214,9.2402253968254,0.444237244175165,4.19944891903349,0.173270071497294,0.766787485692484,0.0289542871937362,0.743906316234307,0.317057015702049,0.101049173488152,0.672424290033303,0.804328924891783,0.257508559370356,0.383267751758859,0.0613800308114623,0.161932914062747,0.158857873797045,0.0190396307198372
