Cobertura forestal,0.44155,0.44117,0.44079,0.440411,0.440032,0.439652,0.439273,0.438894,0.438516,0.438137,0.437758,0.43738,0.437002,0.436623,0.436245,0.435867,0.43549,0.435112,0.434734,0.434357,0.433979,0.433602,0.433225,0.432848,0.432471,0.432094,0.431717,0.431341,0.430964,0.430588,0.430211,0.429835,0.429459,0.429083,0.428707,0.428331,0.427955,0.427579,0.427203,0.426828,0.426452,0.426077,0.425701,0.425326,0.42495,0.424575,0.4242,0.423825,0.423449,0.423074
Cobertura forestal inicial,0.44155
Comercialización,0.269786,0.269787,0.269789,0.26979,0.269792,0.269793,0.269795,0.269796,0.269798,0.2698,0.269801,0.269803,0.269804,0.269806,0.269808,0.269809,0.269811,0.269813,0.269814,0.269816,0.269817,0.269819,0.269821,0.269822,0.269824,0.269826,0.269827,0.269829,0.26983,0.269832,0.269834,0.269835,0.269837,0.269839,0.26984,0.269842,0.269843,0.269845,0.269847,0.269848,0.26985,0.269852,0.269853,0.269855,0.269856,0.269858,0.26986,0.269861,0.269863,0.269864
Comida comprada,1497.63,1497.53,1497.44,1497.36,1497.28,1497.2,1497.12,1497.05,1496.99,1496.93,1496.87,1496.81,1496.76,1496.71,1496.66,1496.62,1496.58,1496.54,1496.51,1496.48,1496.45,1496.42,1496.39,1496.36,1496.34,1496.32,1496.3,1496.28,1496.26,1496.24,1496.23,1496.21,1496.2,1496.18,1496.17,1496.16,1496.15,1496.14,1496.13,1496.12,1496.11,1496.1,1496.09,1496.08,1496.08,1496.07,1496.06,1496.05,1496.05,1496.04
Consumo de leña,625.28,625.067,624.854,624.641,624.429,624.218,624.007,623.798,623.59,623.384,623.179,622.976,622.774,622.575,622.378,622.183,621.991,621.801,621.614,621.43,621.249,621.071,620.896,620.724,620.555,620.39,620.229,620.071,619.917,619.766,619.62,619.477,619.339,619.205,619.075,618.949,618.827,618.71,618.597,618.489,618.385,618.286,618.192,618.102,618.017,617.936,617.861,617.79,617.725,617.664
Consumo leña por hogar,0.8
Costos insumos,7.15431,7.15431,7.15431,7.15431,7.15432,7.15432,7.15432,7.15432,7.15432,7.15433,7.15433,7.15433,7.15433,7.15434,7.15434,7.15434,7.15434,7.15434,7.15435,7.15435,7.15435,7.15435,7.15436,7.15436,7.15436,7.15436,7.15436,7.15437,7.15437,7.15437,7.15437,7.15438,7.15438,7.15438,7.15438,7.15438,7.15439,7.15439,7.15439,7.15439,7.1544,7.1544,7.1544,7.1544,7.15441,7.15441,7.15441,7.15441,7.15441,7.15441
Costumbre de consumo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Cubertura forestal mínima,0.6
Deforestación,0.568436,0.568242,0.568049,0.567855,0.567663,0.567471,0.567279,0.567089,0.5669,0.566712,0.566526,0.566342,0.566158,0.565977,0.565798,0.565621,0.565446,0.565274,0.565104,0.564937,0.564772,0.56461,0.564451,0.564294,0.564141,0.563991,0.563844,0.563701,0.563561,0.563424,0.563291,0.563161,0.563035,0.562913,0.562795,0.562681,0.56257,0.562464,0.562361,0.562263,0.562168,0.562078,0.561992,0.561911,0.561833,0.56176,0.561692,0.561628,0.561568,0.561512
