Departamento,Municipio,Código_lugar,Año,Tamaño_muestra,Desntr_crón_inft
HUEHUETENANGO,CONCEPCIÓN HUISTA,1322,1986,253,88.5
HUEHUETENANGO,CUILCO,1304,1986,1005,60.9
HUEHUETENANGO,HUEHUETENANGO,1301,1986,1487,46.5
HUEHUETENANGO,JACALTENANGO,1307,1986,925,78.2
HUEHUETENANGO,LA DEMOCRACIA,1312,1986,745,57.6
HUEHUETENANGO,LA LIBERTAD,1311,1986,622,69.3
HUEHUETENANGO,MALACATANCITO,1303,1986,380,50
HUEHUETENANGO,NENTÓN,1305,1986,446,69.1
HUEHUETENANGO,PETATÁN,1333,1986,,
HUEHUETENANGO,SAN ANTONIO HUISTA,1324,1986,266,62
HUEHUETENANGO,SAN GASPAR IXCHIL,1329,1986,53,81.1
HUEHUETENANGO,SAN IDELFONSO IXTAHUACÁN,1309,1986,384,64.1
HUEHUETENANGO,SAN JUAN ATITÁN,1316,1986,47,80.9
HUEHUETENANGO,SAN JUAN IXCOY,1323,1986,165,77.6
HUEHUETENANGO,SAN MATEO IXTATÁN,1318,1986,244,75.4
HUEHUETENANGO,SAN MIGUEL ACATÁN,1313,1986,213,80.3
HUEHUETENANGO,SAN PEDRO NECTA,1306,1986,451,71
HUEHUETENANGO,SAN RAFAEL INDEPENDENCIA,1314,1986,148,91.9
HUEHUETENANGO,SAN RAFAEL PÉTZAL,1328,1986,85,77.7
HUEHUETENANGO,SAN SEBASTIÁN COATÁN,1325,1986,152,65.1
HUEHUETENANGO,SAN SEBASTIÁN HUEHUETENANGO,1320,1986,290,80.7
HUEHUETENANGO,SANTA ANA HUISTA,1331,1986,149,50.3
HUEHUETENANGO,SANTA BÁRBARA,1310,1986,79,78.5
HUEHUETENANGO,SANTA EULALIA,1317,1986,333,76.9
HUEHUETENANGO,SANTIAGO CHIMALTENANGO,1330,1986,57,89.5
HUEHUETENANGO,SOLOMA,1308,1986,506,70
HUEHUETENANGO,TECTITÁN,1321,1986,89,64
HUEHUETENANGO,TODOS SANTOS CUCHUMATÁN,1315,1986,193,69.4
HUEHUETENANGO,UNIÓN CANTINIL,1332,1986,,
IZABAL,EL ESTOR,1803,1986,414,38.9
IZABAL,LIVINGSTÓN,1802,1986,558,41.2
IZABAL,LOS AMATES,1805,1986,1739,42.5
IZABAL,MORALES,1804,1986,2205,41
IZABAL,PUERTO BARRIOS,1801,1986,2108,32.5
JALAPA,JALAPA,2101,1986,2422,54.1
JALAPA,MATAQUESCUINTLA,2107,1986,746,46.4
JALAPA,MONJAS,2106,1986,641,35.9
JALAPA,SAN CARLOS ALZATATE,2105,1986,233,74.7
JALAPA,SAN LUIS JILOTEPEQUE,2103,1986,511,45.4
JALAPA,SAN MANUEL CHAPARRÓN,2104,1986,261,29.9
JALAPA,SAN PEDRO PINULA,2102,1986,747,61.6
JUTIAPA,AGUA BLANCA,2204,1986,487,33.7
JUTIAPA,ASUNCIÓN MITA,2205,1986,1339,28.4
JUTIAPA,ATESCATEMPA,2207,1986,456,37.5
JUTIAPA,COMAPA,2211,1986,549,50.1
JUTIAPA,CONGUACO,2213,1986,406,48.3
JUTIAPA,EL ADELANTO,2209,1986,212,72.2
JUTIAPA,EL PROGRESO,2202,1986,481,22.5
JUTIAPA,JALPATAGUA,2212,1986,737,33.4
JUTIAPA,JEREZ,2208,1986,167,28.7
JUTIAPA,JUTIAPA,2201,1986,2505,41.1
JUTIAPA,MOYUTA,2214,1986,1182,31
JUTIAPA,PASACO,2215,1986,280,26.1
JUTIAPA,QUESADA,2217,1986,480,33.8
JUTIAPA,SAN JOSÉ ACATEMPA,2216,1986,356,52.5
JUTIAPA,SANTA CATARINA MITA,2203,1986,600,34.8
JUTIAPA,YUPILTEPEQUE,2206,1986,351,54.1
JUTIAPA,ZAPOTITLÁN,2210,1986,233,37.8
PETEN,DOLORES,1708,1986,818,48.5
PETEN,EL CHAL,1714,1986,,
PETEN,FLORES,1701,1986,750,34.5
PETEN,LA LIBERTAD,1705,1986,207,34.3
PETEN,LAS CRUCES,1713,1986,,
PETEN,MELCHOR DE MENCOS,1711,1986,468,31
PETEN,POPTÚN,1712,1986,520,38.5
PETEN,SAN ANDRÉS,1704,1986,174,51.7
PETEN,SAN BENITO,1703,1986,148,38.5
PETEN,SAN FRANCISCO,1706,1986,79,34.2
PETEN,SAN JOSÉ,1702,1986,99,47.5
